mol2_index	bsa
1	94
2	81
3	86
4	71
5	76
6	61
7	71
8	71
9	73
10	80
11	84
12	64
13	64
14	61
15	65
16	74
17	72
18	82
19	70
20	62
21	79
22	69
23	70
24	64
25	61
26	52
27	81
28	93
29	77
30	75
31	70
32	84
33	70
34	74
35	85
36	74
37	73
38	82
39	76
40	85
41	68
42	81
43	82
44	73
45	57
46	76
47	63
48	63
49	78
50	74
51	75
52	62
53	67
54	70
55	67
56	69
57	61
58	77
59	77
60	78
61	68
62	63
63	68
64	64
65	63
66	62
67	66
68	69
69	71
70	61
71	58
72	49
73	52
74	57
75	48
76	49
77	84
78	67
79	63
80	60
81	57
82	65
83	60
84	61
85	67
86	63
87	36
88	65
89	66
90	58
91	54
92	55
93	65
94	46
95	49
96	44
97	47
98	48
99	39
100	39
101	39
102	63
103	55
104	37
105	55
106	51
107	48
108	41
109	42
110	45
111	36
112	79
113	88
114	82
115	78
116	72
117	75
118	68
119	76
120	64
121	65
122	70
123	66
124	70
125	66
126	63
127	63
128	61
129	58
130	54
131	47
132	61
133	58
134	59
135	59
136	54
137	62
138	60
139	58
140	62
141	51
142	53
143	48
144	58
145	50
146	45
147	47
148	90
149	89
150	86
151	83
152	88
153	83
154	85
155	81
156	81
157	84
158	79
159	82
160	75
161	75
162	74
163	69
164	66
165	73
166	74
167	72
168	71
169	73
170	78
171	71
172	77
173	69
174	67
175	71
176	66
177	65
178	63
179	69
180	74
181	60
182	71
183	70
184	68
185	78
186	73
187	63
188	69
189	58
190	65
191	74
192	61
193	68
194	71
195	73
196	70
197	69
198	70
199	65
200	61
201	71
202	68
203	66
204	57
205	61
206	64
207	58
208	62
209	49
210	60
211	63
212	56
213	57
214	59
215	60
216	50
217	59
218	63
219	62
220	56
221	56
222	54
223	49
224	58
225	63
226	49
227	42
228	37
229	98
230	90
231	92
232	88
233	87
234	85
235	79
236	88
237	86
238	80
239	78
240	78
241	90
242	78
243	76
244	76
245	81
246	77
247	73
248	81
249	77
250	78
251	74
252	84
253	84
254	76
255	76
256	81
257	79
258	81
259	77
260	68
261	60
262	59
263	70
264	68
265	59
266	75
267	56
268	70
269	62
270	56
271	75
272	66
273	71
274	67
275	63
276	41
277	65
278	67
279	64
280	65
281	62
282	66
283	65
284	62
285	70
286	60
287	60
288	62
289	61
290	56
291	64
292	61
293	64
294	60
295	58
296	58
297	52
298	62
299	57
300	52
301	60
302	49
303	45
304	53
305	54
306	48
307	52
308	42
309	47
310	55
311	58
312	32
313	38
314	44
315	68
316	77
317	64
318	67
319	66
320	67
321	63
322	59
323	57
324	62
325	67
326	44
327	59
328	59
329	65
330	56
331	61
332	52
333	44
334	52
335	40
336	51
337	45
338	49
339	42
340	35
